t`s`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float	v(c2)`V`float	v(c1)`V`float
0	0	9.44109e-09	0	2.5	2.5
1e-12	0	9.44109e-09	0	2.5	2.5
2e-12	0	9.44109e-09	0	2.5	2.5
5.2e-12	0	9.44109e-09	0	2.5	2.5
1.544e-11	0	9.44109e-09	0	2.5	2.5
4.8208e-11	0	9.44108e-09	0	2.5	2.5
1.53066e-10	0	9.44108e-09	0	2.5	2.5
4.8861e-10	0	9.44108e-09	0	2.5	2.5
1e-09	0	9.44111e-09	0	2.5	2.5
1.045e-09	0	1.01651e-07	0.375	2.5	2.5
1.06811e-09	0	1.37497e-07	0.567595	2.5	2.5
1.14207e-09	0	7.82161e-08	1.1839	2.5	2.5
1.18646e-09	0	-3.94684e-08	1.5538	2.5	2.5
1.21277e-09	0	-8.67969e-08	1.77309	2.5	2.5
1.23909e-09	0	-1.1742e-07	1.99239	2.5	2.5
1.25746e-09	0	-1.26612e-07	2.14546	2.5	2.5
1.27582e-09	0	-1.26485e-07	2.29853	2.5	2.5
1.3e-09	0	-1.24397e-07	2.5	2.5	2.5
1.31753e-09	0	-1.61631e-07	2.5	2.5	2.5
1.32369e-09	0	-1.73299e-07	2.5	2.5	2.5
1.34341e-09	0	-1.78573e-07	2.5	2.5	2.5
1.37071e-09	0	-8.26102e-08	2.5	2.5	2.5
1.40667e-09	0	1.49215e-07	2.5	2.5	2.5
1.44363e-09	0	3.4086e-07	2.5	2.5	2.5
1.48258e-09	0	4.42202e-07	2.5	2.5	2.5
1.52705e-09	0	4.45193e-07	2.5	2.5	2.5
1.57945e-09	0	2.63273e-07	2.5	2.5	2.5
1.62991e-09	0	2.81344e-08	2.5	2.5	2.5
1.70214e-09	0	-1.82978e-07	2.5	2.5	2.5
1.79006e-09	0	-2.53919e-07	2.5	2.5	2.5
1.89581e-09	0	-2.04027e-07	2.5	2.5	2.5
2.03014e-09	0	-9.75559e-08	2.5	2.5	2.5
2.2212e-09	0	2.30885e-09	2.5	2.5	2.5
2.52013e-09	0	4.78259e-08	2.5	2.5	2.5
2.94419e-09	0	3.37313e-08	2.5	2.5	2.5
3.55759e-09	0	1.20361e-08	2.5	2.5	2.5
3.8e-09	0	1.02549e-08	2.5	2.5	2.5
3.8375e-09	0	-6.58372e-08	2.1875	2.5	2.5
3.85389e-09	0	-9.60679e-08	2.05089	2.5	2.5
3.90635e-09	0	-1.22409e-07	1.61376	2.5	2.5
3.96276e-09	0	-4.11792e-08	1.14364	2.5	2.5
3.99076e-09	0	3.11822e-08	0.910367	2.5	2.5
4.01875e-09	0	1.24806e-07	0.677097	2.5	2.5
4.0466e-09	0	1.9554e-07	0.445003	2.5	2.5
4.07445e-09	0	2.58408e-07	0.21291	2.5	2.5
4.1e-09	0	2.63018e-07	0	2.5	2.5
4.11552e-09	0	2.9433e-07	0	2.5	2.5
4.1218e-09	0	3.06265e-07	0	2.5	2.5
4.1419e-09	0	3.21159e-07	0	2.5	2.5
4.1746e-09	0	2.55897e-07	0	2.5	2.5
4.21968e-09	0	8.93186e-08	0	2.5	2.5
4.28016e-09	0	-7.30045e-08	0	2.5	2.5
4.33395e-09	0	-1.2527e-07	0	2.5	2.5
4.40576e-09	0	-1.25079e-07	0	2.5	2.5
4.50016e-09	0	-8.69842e-08	0	2.5	2.5
4.66796e-09	0	-2.41622e-08	0	2.5	2.5
4.86138e-09	0	1.14436e-08	0	2.5	2.5
5.14702e-09	0	2.27433e-08	0	2.5	2.5
5.54766e-09	0	1.70164e-08	0	2.5	2.5
6e-09	0	1.09837e-08	0	2.5	2.5
6.0375e-09	0	1.00561e-07	0.3125	2.5	2.5
6.05919e-09	0	1.43206e-07	0.493209	2.5	2.5
6.12858e-09	0	6.23173e-08	1.07148	2.5	2.5
6.17238e-09	0	-1.59775e-07	1.43651	2.5	2.5
6.20019e-09	0	-2.72545e-07	1.66826	2.5	2.5
6.228e-09	0	-3.6339e-07	1.90001	2.5	2.5
6.24929e-09	0	-3.20913e-07	2.07743	2.5	2.5
6.27058e-09	0	-2.11768e-07	2.25485	2.5	2.5
6.3e-09	0	1.07885e-08	2.5	2.5	2.5
6.31726e-09	0	5.68335e-08	2.5	2.5	2.5
6.32395e-09	0	7.21171e-08	2.5	2.5	2.5
6.34537e-09	0	1.07877e-07	2.5	2.5	2.5
6.38473e-09	0	1.34084e-07	2.5	2.5	2.5
6.42891e-09	0	1.18554e-07	2.5	2.5	2.5
6.48518e-09	0	8.01749e-08	2.5	2.5	2.5
6.54181e-09	0	5.21769e-08	2.5	2.5	2.5
6.61682e-09	0	3.07821e-08	2.5	2.5	2.5
6.72265e-09	0	1.51862e-08	2.5	2.5	2.5
6.90791e-09	0	5.27502e-09	2.5	2.5	2.5
7.20546e-09	0	3.94124e-09	2.5	2.5	2.5
7.67842e-09	0	7.33382e-09	2.5	2.5	2.5
8.28125e-09	0	9.25437e-09	2.5	2.5	2.5
8.8e-09	0	9.42844e-09	2.5	2.5	2.5
8.8375e-09	0	-6.48881e-08	2.1875	2.5	2.5
8.86061e-09	0	-1.08319e-07	1.99493	2.5	2.5
