t`s`float	v(rst)`V`float	v(clk)`V`float	v(d)`V`float	v(vdd!)`V`float	v(vss)`V`float
0	0	0	1.98404e-07	2.5	0
1e-12	0	0	1.98404e-07	2.5	2.73892e-12
2e-12	0	0	1.98404e-07	2.5	5.33223e-12
5.2e-12	0	0	1.98404e-07	2.5	8.25168e-12
1.544e-11	0	0	1.98404e-07	2.5	-3.96475e-13
4.8208e-11	0	0	1.98403e-07	2.5	-3.39555e-11
1.53066e-10	0	0	1.98402e-07	2.5	-5.83738e-11
4.8861e-10	0	0	1.98407e-07	2.5	8.59705e-11
1e-09	0	0	1.98402e-07	2.5	-6.40223e-11
1.045e-09	0	0.375	9.02309e-05	2.50643	0.0032165
1.06811e-09	0	0.567595	0.000120214	2.50855	0.00427343
1.14207e-09	0	1.1839	-0.000122319	2.49203	-0.00398725
1.161e-09	0	1.34165	-0.000230445	2.48469	-0.00765282
1.17993e-09	0	1.49941	-0.000357337	2.4761	-0.0119506
1.19825e-09	0	1.65205	-0.000450237	2.46955	-0.0152248
1.21656e-09	0	1.80469	-0.00052957	2.46376	-0.0181217
1.23086e-09	0	1.92384	-0.000569407	2.4606	-0.0196994
1.24516e-09	0	2.04299	-0.000593871	2.45838	-0.0208107
1.25884e-09	0	2.15703	-0.000580441	2.45868	-0.0206584
1.27253e-09	0	2.27107	-0.000538395	2.46085	-0.0195744
1.28626e-09	0	2.38554	-0.000458838	2.4655	-0.0172499
1.3e-09	0	2.5	-0.000344718	2.47243	-0.0137866
1.3122e-09	0	2.5	-0.000243043	2.47848	-0.0107587
1.31814e-09	0	2.5	-0.000189856	2.48174	-0.00912997
1.33714e-09	0	2.5	1.52829e-05	2.49473	-0.00263431
1.36026e-09	0	2.5	0.000303753	2.51343	0.00671488
1.39338e-09	0	2.5	0.00066923	2.53778	0.0188884
1.42506e-09	0	2.5	0.000876288	2.55262	0.026309
1.46014e-09	0	2.5	0.000911684	2.55731	0.028653
1.50707e-09	0	2.5	0.000690579	2.54671	0.0233546
1.58561e-09	0	2.5	2.09414e-06	2.5068	0.0034011
1.67084e-09	0	2.5	-0.000587111	2.46904	-0.0154803
1.77486e-09	0	2.5	-0.000517232	2.46865	-0.0156747
1.89805e-09	0	2.5	0.000163183	2.5076	0.00379911
2.07718e-09	0	2.5	0.000371738	2.52373	0.0118662
2.21559e-09	0	2.5	-0.000147667	2.49349	-0.00325663
2.43294e-09	0	2.5	-0.000238824	2.48472	-0.0076386
2.5968e-09	0	2.5	0.000194447	2.51061	0.00530456
2.86817e-09	0	2.5	5.21067e-05	2.50447	0.00223312
3.05717e-09	0	2.5	-0.000204783	2.48787	-0.00606246
3.36362e-09	0	2.5	0.000105161	2.50548	0.00274212
3.60161e-09	0	2.5	7.58008e-05	2.50535	0.00267337
3.8e-09	0	2.5	-0.000130264	2.49247	-0.00376571
3.8375e-09	0	2.1875	-0.000166109	2.48942	-0.00528931
3.85255e-09	0	2.0621	-0.000174399	2.48865	-0.00567547
3.9007e-09	0	1.66081	-0.000205621	2.48552	-0.00723908
3.94977e-09	0	1.25195	-0.00023406	2.48238	-0.00880752
3.97765e-09	0	1.01962	-0.000242612	2.48103	-0.009487
4.00553e-09	0	0.78729	-0.000245651	2.47997	-0.010013
4.02818e-09	0	0.598465	-0.000219876	2.4811	-0.0094511
4.05084e-09	0	0.409639	-0.000176483	2.48344	-0.00828138
4.06881e-09	0	0.259939	-0.000112463	2.48734	-0.00633036
4.08677e-09	0	0.110238	-2.76639e-05	2.49268	-0.00366137
4.1e-09	0	0	4.78737e-05	2.49756	-0.00122028
4.11858e-09	0	0	0.000208924	2.50846	0.00422999
4.1241e-09	0	0	0.000256507	2.51167	0.00583252
4.14173e-09	0	0	0.000395622	2.52105	0.0105244
4.16888e-09	0	0	0.000556432	2.5323	0.0161499
4.20748e-09	0	0	0.000649157	2.54005	0.0200274
4.25304e-09	0	0	0.000559146	2.5368	0.0183996
4.3138e-09	0	0	0.000219644	2.51796	0.00897984
4.39991e-09	0	0	-0.000289463	2.48673	-0.00663363
4.51997e-09	0	0	-0.000425447	2.475	-0.0124976
4.65506e-09	0	0	5.29153e-05	2.50163	0.000813852
4.86255e-09	0	0	0.000274031	2.51744	0.0087216
5.01967e-09	0	0	-0.000127372	2.49404	-0.00297798
5.25869e-09	0	0	-0.000142197	2.4905	-0.0047515
5.45033e-09	0	0	0.000179614	2.51009	0.00504378
5.77112e-09	0	0	-3.97549e-05	2.49861	-0.00069269
6e-09	0	0	-0.000122186	2.49224	-0.00388113
6.0375e-09	0	0.3125	1.66929e-05	2.50131	0.000656723
6.05349e-09	0	0.445762	7.0682e-05	2.50478	0.0023892
6.10466e-09	0	0.8722	0.00011508	2.50739	0.00369533
6.14318e-09	0	1.19318	5.74868e-06	2.50005	2.29896e-05
6.16785e-09	0	1.39872	-0.000115545	2.49183	-0.00408263
6.19251e-09	0	1.60426	-0.000276878	2.48088	-0.0095577
6.21342e-09	0	1.77846	-0.00036869	2.47457	-0.0127147
6.23432e-09	0	1.95267	-0.000443859	2.46933	-0.0153341
6.24809e-09	0	2.06738	-0.000440885	2.46926	-0.0153696
6.26185e-09	0	2.18209	-0.000409202	2.47104	-0.0144806
6.29039e-09	0	2.41995	-0.000239885	2.4815	-0.00924758
6.3e-09	0	2.5	-0.000158987	2.48658	-0.00671026
6.31369e-09	0	2.5	-6.32409e-05	2.49242	-0.00379097
6.31842e-09	0	2.5	-2.92916e-05	2.49452	-0.00273761
6.33286e-09	0	2.5	7.99425e-05	2.50146	0.000728141
6.36231e-09	0	2.5	0.000289506	2.51501	0.00750474
6.40541e-09	0	2.5	0.000485713	2.52846	0.0142313
6.45624e-09	0	2.5	0.000506023	2.53167	0.0158347
6.52177e-09	0	2.5	0.000269696	2.51921	0.00960568
6.61666e-09	0	2.5	-0.000192215	2.4914	-0.00429939
6.75294e-09	0	2.5	-0.000341884	2.47946	-0.0102692
6.8992e-09	0	2.5	7.98485e-05	2.50328	0.00164242
7.12985e-09	0	2.5	0.000202857	2.51303	0.00651562
7.29948e-09	0	2.5	-0.000156331	2.49165	-0.00417472
7.57729e-09	0	2.5	-4.40438e-05	2.49623	-0.00188253
7.78311e-09	0	2.5	0.000168174	2.51006	0.00503019
8.10943e-09	0	2.5	-0.000102859	2.49455	-0.00272531
8.37207e-09	0	2.5	-3.85633e-05	2.49701	-0.00149599
8.66962e-09	0	2.5	0.000108379	2.50664	0.00332004
8.8e-09	0	2.5	-1.49246e-05	2.49969	-0.000153299
8.8375e-09	0	2.1875	-9.84151e-05	2.49395	-0.00302693
8.8502e-09	0	2.08171	-0.000123703	2.49223	-0.0038867
8.89082e-09	0	1.74317	-0.000194602	2.48712	-0.00644221
8.94e-09	0	1.33334	-0.000253342	2.48227	-0.00886347
8.95983e-09	0	1.16812	-0.000271655	2.48048	-0.00976146
8.97682e-09	0	1.02653	-0.000284289	2.47914	-0.0104295
9.004e-09	0	0.799976	-0.000281769	2.4785	-0.0107495
9.03119e-09	0	0.573426	-0.000251266	2.4797	-0.0101477
9.05653e-09	0	0.362231	-0.000193664	2.48277	-0.0086146
9.07995e-09	0	0.167048	-9.92778e-05	2.48853	-0.00573622
9.1e-09	0	0	9.05985e-06	2.49536	-0.00232028
9.11377e-09	0	0	0.000133145	2.5037	0.00185125
9.11947e-09	0	0	0.000184345	2.50712	0.00355806
9.13771e-09	0	0	0.000336657	2.51724	0.0086196
9.16317e-09	0	0	0.000504566	2.52872	0.0143594
9.20035e-09	0	0	0.000629005	2.53823	0.0191149
9.24434e-09	0	0	0.000587014	2.53784	0.0189178
9.303e-09	0	0	0.000299861	2.52236	0.0111811
9.38571e-09	0	0	-0.0002039	2.492	-0.00399954
9.50341e-09	0	0	-0.000446116	2.47423	-0.0128841
9.63893e-09	0	0	-2.26096e-05	2.49708	-0.00145952
9.83275e-09	0	0	0.00030328	2.51872	0.00936024
9.99518e-09	0	0	-6.78448e-05	2.49772	-0.00114052
1.02118e-08	0	0	-0.000195937	2.48775	-0.00612672
1.04118e-08	0	0	0.000145496	2.50793	0.00396717
1.06833e-08	0	0	3.37438e-05	2.50299	0.0014944
1.09062e-08	0	0	-0.000146537	2.49116	-0.00442097
1.1e-08	0	0	-4.09862e-05	2.49687	-0.00156288
1.10375e-08	0	0.3125	9.22888e-05	2.50582	0.00290956
1.10487e-08	0	0.40607	0.000128956	2.50825	0.00412587
1.10847e-08	0	0.705496	0.000181675	2.51177	0.00588476
1.11244e-08	0	1.03686	0.000103362	2.50673	0.0033649
1.11452e-08	0	1.20963	1.0059e-05	2.50059	0.000295605
1.11659e-08	0	1.38241	-0.000119208	2.49205	-0.00397691
1.11927e-08	0	1.60612	-0.000271751	2.48179	-0.00910664
1.12196e-08	0	1.82982	-0.000430935	2.47094	-0.0145324
1.12339e-08	0	1.9493	-0.000461738	2.46871	-0.015647
1.12483e-08	0	2.06879	-0.000470433	2.46791	-0.0160432
1.12637e-08	0	2.19774	-0.000428008	2.47036	-0.0148188
1.12792e-08	0	2.3267	-0.000340901	2.47567	-0.0121646
1.13e-08	0	2.5	-0.000178017	2.48582	-0.00709004
1.13134e-08	0	2.5	-8.62111e-05	2.49135	-0.00432639
1.13191e-08	0	2.5	-4.59484e-05	2.49382	-0.00308963
1.13375e-08	0	2.5	8.83899e-05	2.50229	0.00114311
1.13706e-08	0	2.5	0.000305573	2.5163	0.00815108
1.14166e-08	0	2.5	0.00047607	2.5282	0.0140987
1.14714e-08	0	2.5	0.000452597	2.52872	0.014359
1.15445e-08	0	2.5	0.000160979	2.51267	0.00633587
1.16538e-08	0	2.5	-0.000282199	2.48525	-0.00737438
1.17959e-08	0	2.5	-0.000242843	2.48469	-0.00765738
1.19572e-08	0	2.5	0.000191608	2.51037	0.00518659
1.21844e-08	0	2.5	9.1579e-05	2.50676	0.00337836
1.2366e-08	0	2.5	-0.000196976	2.48861	-0.00569491
1.26557e-08	0	2.5	6.20943e-05	2.50278	0.0013899
1.28793e-08	0	2.5	0.000113702	2.5074	0.00369858
1.31648e-08	0	2.5	-0.000131159	2.49243	-0.00378633
1.34918e-08	0	2.5	5.15066e-05	2.50247	0.0012338
1.38e-08	0	2.5	4.86605e-05	2.50336	0.00168124
