t`s`float	v(vss)`V`float	v(vdd!)`V`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float
0	0	2.5	0	1.98404e-07	0
1e-12	2.78333e-12	2.5	0	1.98404e-07	0
2e-12	5.42144e-12	2.5	0	1.98405e-07	0
5.2e-12	8.39928e-12	2.5	0	1.98405e-07	0
1.544e-11	-4.23384e-13	2.5	0	1.98404e-07	0
4.8208e-11	-3.44244e-11	2.5	0	1.98399e-07	0
1.53066e-10	-5.81157e-11	2.5	0	1.98401e-07	0
4.8861e-10	8.60455e-11	2.5	0	1.98413e-07	0
1e-09	-6.44375e-11	2.5	0	1.98393e-07	0
1.045e-09	0.00323523	2.50647	0	0.000351279	0.375
1.06811e-09	0.00428835	2.50858	0	0.000420014	0.567595
1.14207e-09	-0.00407593	2.49185	0	-0.000834842	1.1839
1.161e-09	-0.00775025	2.4845	0	-0.00121564	1.34165
1.17993e-09	-0.0120496	2.4759	0	-0.00162074	1.4994
1.19825e-09	-0.0153018	2.4694	0	-0.00179372	1.65204
1.21656e-09	-0.0181592	2.46368	0	-0.00183156	1.80469
1.23086e-09	-0.0197031	2.46059	0	-0.00176629	1.92383
1.24516e-09	-0.0207751	2.45845	0	-0.00161819	2.04297
1.25884e-09	-0.0205783	2.45884	0	-0.00132657	2.15702
1.27253e-09	-0.0194436	2.46111	0	-0.000912269	2.27106
1.28626e-09	-0.0170706	2.46586	0	-0.000386792	2.38553
1.3e-09	-0.0135582	2.47288	0	0.000253098	2.5
1.3122e-09	-0.0105193	2.47896	0	0.000683004	2.5
1.31814e-09	-0.00888427	2.48223	0	0.000906503	2.5
1.33714e-09	-0.00237105	2.49526	0	0.00170747	2.5
1.36027e-09	0.00696803	2.51394	0	0.00265652	2.5
1.39339e-09	0.0190321	2.53806	0	0.0033906	2.5
1.42506e-09	0.0262654	2.55253	0	0.0031964	2.5
1.46015e-09	0.0284011	2.5568	0	0.00221852	2.5
1.50709e-09	0.0229325	2.54587	0	0.000381482	2.5
1.58549e-09	0.00313235	2.50626	0	-0.00212964	2.5
1.67064e-09	-0.0152781	2.46944	0	-0.00254316	2.5
1.77474e-09	-0.0151969	2.46961	0	-0.000364455	2.5
1.89868e-09	0.0039138	2.50783	0	0.00179415	2.5
2.07796e-09	0.0113513	2.5227	0	0.00034991	2.5
2.21778e-09	-0.00341244	2.49318	0	-0.00131238	2.5
2.43961e-09	-0.00702249	2.48595	0	5.20714e-05	2.5
2.60503e-09	0.00538238	2.51076	0	0.00100425	2.5
2.88949e-09	0.00146719	2.50293	0	-0.000574633	2.5
3.08205e-09	-0.00576663	2.48847	0	-0.000448374	2.5
3.39553e-09	0.00316318	2.50633	0	0.000658729	2.5
3.64596e-09	0.0018093	2.50362	0	-0.000274684	2.5
3.8e-09	-0.00341755	2.49317	0	-0.000426671	2.5
3.8375e-09	-0.00507665	2.48985	0	-0.00047023	2.1875
3.85106e-09	-0.00548767	2.48902	0	-0.000456756	2.0745
3.89445e-09	-0.00702276	2.48595	0	-0.000452151	1.71289
3.94405e-09	-0.008713	2.48257	0	-0.000447973	1.29955
3.99702e-09	-0.0102657	2.47947	0	-0.000415306	0.858131
4.02176e-09	-0.00991608	2.48017	0	-0.000267994	0.652014
4.04649e-09	-0.00888233	2.48224	0	-3.66111e-05	0.445897
4.06296e-09	-0.00724194	2.48552	0	0.000213516	0.30866
4.07943e-09	-0.00501218	2.48998	0	0.000525611	0.171424
4.1e-09	-0.00130534	2.49739	0	0.000961987	0
4.11735e-09	0.00391053	2.50782	0	0.00151093	0
4.12338e-09	0.00570102	2.5114	0	0.00169236	0
4.14269e-09	0.0109055	2.52181	0	0.00210585	0
4.1703e-09	0.0165674	2.53313	0	0.00226342	0
4.20936e-09	0.0202482	2.5405	0	0.00179478	0
4.25512e-09	0.0182548	2.53651	0	0.000649142	0
4.31683e-09	0.00836455	2.51673	0	-0.000956031	0
4.40441e-09	-0.00728116	2.48544	0	-0.0019171	0
4.52537e-09	-0.0121297	2.47574	0	-0.000597832	0
4.66172e-09	0.00155917	2.50312	0	0.00123311	0
4.86621e-09	0.00830022	2.5166	0	0.000252159	0
5.02429e-09	-0.00333352	2.49333	0	-0.00098628	0
5.27023e-09	-0.00414162	2.49172	0	0.000223113	0
5.46153e-09	0.00509405	2.51019	0	0.000661908	0
5.78761e-09	-0.00116947	2.49766	0	-0.000602194	0
6e-09	-0.00361439	2.49277	0	-4.67904e-05	0
6.0375e-09	0.000886649	2.50177	0	0.0004901	0.3125
6.05299e-09	0.00254639	2.50509	0	0.000662768	0.441571
6.10255e-09	0.00382041	2.50764	0	0.000495662	0.8546
6.14128e-09	0.000184748	2.50037	0	-0.000228363	1.17733
6.16538e-09	-0.0038375	2.49233	0	-0.000765403	1.37814
6.18947e-09	-0.00920994	2.48158	0	-0.00136883	1.57894
6.21133e-09	-0.0125939	2.47481	0	-0.00157793	1.76111
6.23319e-09	-0.0154304	2.46914	0	-0.00159467	1.94328
6.24696e-09	-0.0154909	2.46902	0	-0.00135638	2.05799
6.26072e-09	-0.0146427	2.47071	0	-0.000969912	2.17269
6.28953e-09	-0.00937445	2.48125	0	0.000133785	2.41277
6.3e-09	-0.0065903	2.48682	0	0.000579267	2.5
6.31375e-09	-0.00364338	2.49271	0	0.000932211	2.5
6.31857e-09	-0.00256485	2.49487	0	0.00105762	2.5
6.33336e-09	0.000995678	2.50199	0	0.00143065	2.5
6.36288e-09	0.00774424	2.51549	0	0.00193261	2.5
6.40635e-09	0.0143322	2.52866	0	0.00191793	2.5
6.45735e-09	0.0156567	2.53131	0	0.00106702	2.5
6.52333e-09	0.00917464	2.51835	0	-0.000395802	2.5
6.61879e-09	-0.00459632	2.49081	0	-0.00152169	2.5
6.75528e-09	-0.0099244	2.48015	0	-0.000495746	2.5
6.90297e-09	0.00198989	2.50398	0	0.00104936	2.5
7.14023e-09	0.00598196	2.51196	0	-9.29799e-06	2.5
7.31051e-09	-0.00439253	2.49121	0	-0.00083004	2.5
7.6028e-09	-0.00115316	2.49769	0	0.000480693	2.5
7.81145e-09	0.00479663	2.50959	0	0.000327542	2.5
8.14405e-09	-0.00308054	2.49384	0	-0.000550242	2.5
8.41907e-09	-0.000745763	2.49851	0	0.000321651	2.5
8.71787e-09	0.00295112	2.5059	0	9.30232e-05	2.5
8.8e-09	0.000502913	2.50101	0	-0.000252087	2.5
8.83285e-09	-0.00230723	2.49539	0	-0.000510448	2.22625
8.84336e-09	-0.00313871	2.49372	0	-0.000578351	2.1387
8.87698e-09	-0.00538048	2.48924	0	-0.00068092	1.85854
8.92271e-09	-0.0079509	2.4841	0	-0.000694785	1.47743
8.96193e-09	-0.00960324	2.48079	0	-0.00064154	1.15059
9.00115e-09	-0.0107459	2.47851	0	-0.000528151	0.823746
9.02739e-09	-0.0103672	2.47927	0	-0.000334841	0.60512
9.05362e-09	-0.00933019	2.48134	0	-7.25673e-05	0.386493
9.07681e-09	-0.00678091	2.48644	0	0.000305021	0.193247
9.1e-09	-0.00305248	2.4939	0	0.000790644	0
9.11587e-09	0.00170123	2.5034	0	0.0013297	0
9.1236e-09	0.00397409	2.50795	0	0.00157531	0
9.14833e-09	0.010442	2.52088	0	0.0020926	0
9.17891e-09	0.0162329	2.53247	0	0.00219653	0
9.21754e-09	0.0192499	2.5385	0	0.00167251	0
9.26517e-09	0.0167319	2.53346	0	0.000494321	0
9.33231e-09	0.00598166	2.51196	0	-0.001106	0
9.43071e-09	-0.00929829	2.4814	0	-0.00177706	0
9.55293e-09	-0.0101694	2.47966	0	-0.000200052	0
9.70375e-09	0.00464	2.50928	0	0.00128179	0
9.90616e-09	0.00613313	2.51227	0	-0.000131694	0
1.00727e-08	-0.00527595	2.48945	0	-0.000912968	0
1.03574e-08	-0.000981127	2.49804	0	0.000563335	0
1.05532e-08	0.00531212	2.51062	0	0.00036951	0
1.08735e-08	-0.00322487	2.49355	0	-0.000608677	0
1.1e-08	-0.00336239	2.49328	0	-4.21543e-05	0
1.10375e-08	0.00104058	2.50208	0	0.000482505	0.3125
1.105e-08	0.002382	2.50476	0	0.000625688	0.417074
1.10902e-08	0.00416969	2.50834	0	0.000605717	0.751712
1.11098e-08	0.00343996	2.50688	0	0.000372577	0.915155
1.11294e-08	0.00165825	2.50332	0	-7.16982e-06	1.0786
1.11509e-08	-0.00144636	2.49711	0	-0.000470764	1.25751
1.11724e-08	-0.00577489	2.48845	0	-0.00102501	1.43643
1.11975e-08	-0.010135	2.47973	0	-0.00141577	1.64599
1.12227e-08	-0.0145001	2.471	0	-0.00165486	1.85555
1.12369e-08	-0.0151993	2.4696	0	-0.00150563	1.97381
1.1251e-08	-0.0151226	2.46975	0	-0.00121251	2.09207
1.12661e-08	-0.013578	2.47284	0	-0.000756736	2.21739
1.12811e-08	-0.0107349	2.47853	0	-0.000147612	2.34271
1.13e-08	-0.00598192	2.48804	0	0.000635948	2.5
1.13138e-08	-0.0031017	2.4938	0	0.000969315	2.5
1.13194e-08	-0.00188382	2.49623	0	0.00110557	2.5
1.13374e-08	0.00224711	2.50449	0	0.0015091	2.5
1.13699e-08	0.0089985	2.518	0	0.00192274	2.5
1.14155e-08	0.014504	2.52901	0	0.00172176	2.5
1.14698e-08	0.0142521	2.5285	0	0.000727173	2.5
1.15412e-08	0.00604507	2.51209	0	-0.000725303	2.5
1.16481e-08	-0.00737673	2.48525	0	-0.00144248	2.5
1.17883e-08	-0.00763216	2.48474	0	-2.00156e-05	2.5
1.19499e-08	0.00507161	2.51014	0	0.00105501	2.5
1.21754e-08	0.00338485	2.50677	0	-0.000367087	2.5
1.23576e-08	-0.00553778	2.48892	0	-0.000638562	2.5
1.26478e-08	0.00132024	2.50264	0	0.000618111	2.5
1.28727e-08	0.00357419	2.50715	0	7.73959e-06	2.5
1.31607e-08	-0.00365894	2.49268	0	-0.000423203	2.5
1.34914e-08	0.00124492	2.50249	0	0.000430036	2.5
1.38e-08	0.00155521	2.50311	0	-0.000143452	2.5
1.38375e-08	-0.00158607	2.49683	0	-0.000456998	2.1875
1.38557e-08	-0.00294185	2.49412	0	-0.000568099	2.03561
1.39141e-08	-0.00728263	2.48543	0	-0.000783729	1.54957
1.39654e-08	-0.0103069	2.47939	0	-0.000766488	1.12133
1.40096e-08	-0.0110379	2.47792	0	-0.000555023	0.753091
1.40538e-08	-0.0100401	2.47992	0	-0.000161731	0.384852
1.40742e-08	-0.00785949	2.48428	0	0.000184313	0.214933
1.40946e-08	-0.00488432	2.49023	0	0.000607785	0.045015
1.41e-08	-0.00388989	2.49222	0	0.00073403	0
1.41086e-08	-0.00118364	2.49763	0	0.00107445	0
