t`s`float	v(vss)`V`float	v(vdd!)`V`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float
0	0	2.5	0	1.26165e-06	0
1e-12	2.51993e-12	2.5	0	1.26165e-06	0
2e-12	4.90352e-12	2.5	0	1.26165e-06	0
5.2e-12	9.20086e-12	2.5	0	1.26165e-06	0
1.544e-11	-1.90471e-12	2.5	0	1.26165e-06	0
4.8208e-11	-3.83943e-11	2.5	0	1.26165e-06	0
1.53066e-10	-5.92667e-11	2.5	0	1.26165e-06	0
4.8861e-10	2.90446e-11	2.5	0	1.26166e-06	0
1e-09	1.27569e-12	2.5	0	1.26165e-06	0
1.045e-09	0.00313413	2.50627	0	0.000398356	0.375
1.06811e-09	0.00412443	2.50825	0	0.000516725	0.567595
1.14207e-09	-0.00394884	2.4921	0	-0.000601509	1.1839
1.161e-09	-0.00740988	2.48518	0	-0.00105579	1.3417
1.17994e-09	-0.0114392	2.47712	0	-0.00157856	1.49951
1.19825e-09	-0.0145149	2.47097	0	-0.00194774	1.65209
1.21656e-09	-0.0172348	2.46553	0	-0.00224965	1.80468
1.23086e-09	-0.018766	2.46247	0	-0.00239511	1.92386
1.24516e-09	-0.0198859	2.46023	0	-0.00247506	2.04303
1.25884e-09	-0.0197968	2.46041	0	-0.0023913	2.15702
1.27252e-09	-0.0188296	2.46234	0	-0.0021836	2.27101
1.28626e-09	-0.0167078	2.46658	0	-0.00182243	2.3855
1.3e-09	-0.0135222	2.47296	0	-0.00131765	2.5
1.31219e-09	-0.0108457	2.47831	0	-0.000900859	2.5
1.31812e-09	-0.0093856	2.48123	0	-0.000678907	2.5
1.3371e-09	-0.00342083	2.49316	0	0.000186947	2.5
1.3602e-09	0.00525616	2.51051	0	0.00139043	2.5
1.39329e-09	0.0165872	2.53317	0	0.00286455	2.5
1.42493e-09	0.0236935	2.54739	0	0.00365766	2.5
1.45999e-09	0.0265266	2.55305	0	0.00376458	2.5
1.50685e-09	0.0229487	2.5459	0	0.00287447	2.5
1.58542e-09	0.0061542	2.51231	0	0.000138355	2.5
1.672e-09	-0.0121744	2.47565	0	-0.00232609	2.5
1.77862e-09	-0.0155528	2.46889	0	-0.00224796	2.5
1.90376e-09	0.000676731	2.50135	0	0.000418828	2.5
2.09932e-09	0.0113943	2.52279	0	0.00154493	2.5
2.24399e-09	-0.0014107	2.49718	0	-0.000508664	2.5
2.46551e-09	-0.00764232	2.48472	0	-0.00102303	2.5
2.64511e-09	0.00397826	2.50796	0	0.000742116	2.5
2.9096e-09	0.00302888	2.50606	0	0.000294329	2.5
3.11507e-09	-0.00515842	2.48968	0	-0.00078925	2.5
3.44266e-09	0.0018719	2.50374	0	0.000396166	2.5
3.69155e-09	0.00269276	2.50539	0	0.000310457	2.5
3.8e-09	-0.00152828	2.49694	0	-0.000308437	2.5
3.8375e-09	-0.0040948	2.49181	0	-0.000617907	2.1875
3.84934e-09	-0.00475115	2.4905	0	-0.000694302	2.08886
3.88721e-09	-0.00694919	2.4861	0	-0.000933732	1.77321
3.93632e-09	-0.00945355	2.48109	0	-0.00116493	1.36397
3.98658e-09	-0.0117084	2.47658	0	-0.00132802	0.945182
4.01611e-09	-0.0115813	2.47684	0	-0.00122388	0.6991
4.04564e-09	-0.0103794	2.47924	0	-0.000971732	0.453019
4.06259e-09	-0.00862604	2.48275	0	-0.000690271	0.311733
4.07955e-09	-0.00626081	2.48748	0	-0.00032888	0.170448
4.1e-09	-0.0025004	2.495	0	0.000212983	0
4.11712e-09	0.00271768	2.50544	0	0.000917096	0
4.12313e-09	0.00452191	2.50904	0	0.00115974	0
4.14235e-09	0.00976538	2.51953	0	0.00184685	0
4.16926e-09	0.0155086	2.53102	0	0.00254048	0
4.20772e-09	0.0198939	2.53979	0	0.00293	0
4.25275e-09	0.0192697	2.53854	0	0.00254645	0
4.31336e-09	0.0111788	2.52236	0	0.00110087	0
4.39975e-09	-0.00425929	2.49148	0	-0.00115516	0
4.52278e-09	-0.0128957	2.47421	0	-0.00196866	0
4.6588e-09	-0.00166907	2.49666	0	3.04397e-06	0
4.85527e-09	0.00925709	2.51851	0	0.00130776	0
5.02158e-09	-0.00059624	2.49881	0	-0.000328086	0
5.24549e-09	-0.00616663	2.48767	0	-0.000837264	0
5.452e-09	0.00346117	2.50692	0	0.000629316	0
5.72784e-09	0.00191519	2.50383	0	0.000157032	0
5.95942e-09	-0.00420139	2.4916	0	-0.000611906	0
6e-09	-0.00350985	2.49298	0	-0.000458886	0
6.01623e-09	-0.0012606	2.49748	0	-0.000138994	0.135278
6.02362e-09	-0.000304134	2.49939	0	-2.15348e-06	0.196823
6.04725e-09	0.0021859	2.50437	0	0.000349515	0.393767
6.10789e-09	0.00330697	2.50661	0	0.000475067	0.89905
6.14521e-09	-0.000365026	2.49927	0	-5.54229e-05	1.21007
6.17046e-09	-0.00440357	2.49119	0	-0.000602556	1.42052
6.19572e-09	-0.00969636	2.48061	0	-0.00130158	1.63096
6.21647e-09	-0.0124368	2.47513	0	-0.00163291	1.80388
6.23722e-09	-0.0145406	2.47092	0	-0.00185903	1.9768
6.25105e-09	-0.0143755	2.47125	0	-0.00178782	2.09209
6.26489e-09	-0.0133204	2.47336	0	-0.0015881	2.20738
6.29356e-09	-0.00815276	2.48369	0	-0.000779147	2.44636
6.3e-09	-0.0065659	2.48687	0	-0.000542374	2.5
6.3103e-09	-0.00471725	2.49057	0	-0.000263631	2.5
6.31431e-09	-0.00395528	2.49209	0	-0.00015047	2.5
6.326e-09	-0.00145435	2.49709	0	0.000209856	2.5
6.35234e-09	0.00435253	2.50871	0	0.00101242	2.5
6.3918e-09	0.0111604	2.52232	0	0.00187135	2.5
6.43937e-09	0.014745	2.52949	0	0.00217031	2.5
6.49849e-09	0.0124548	2.52491	0	0.00157501	2.5
6.58235e-09	0.00211795	2.50424	0	-8.56696e-05	2.5
6.71501e-09	-0.00956159	2.48088	0	-0.00154316	2.5
6.85956e-09	-0.00395006	2.4921	0	-0.000389297	2.5
7.05349e-09	0.00709003	2.51418	0	0.00108661	2.5
7.25724e-09	0.000302809	2.50061	0	-0.000136115	2.5
7.47568e-09	-0.00519366	2.48961	0	-0.000722418	2.5
7.72815e-09	0.00298491	2.50597	0	0.000534291	2.5
8.00583e-09	0.0013528	2.50271	0	9.77532e-05	2.5
8.2705e-09	-0.00344454	2.49311	0	-0.000483493	2.5
8.66068e-09	0.00251527	2.50503	0	0.000420284	2.5
8.8e-09	0.00182898	2.50366	0	0.000220331	2.5
8.8375e-09	-0.00104864	2.4979	0	-0.000173909	2.1875
8.85053e-09	-0.00194422	2.49611	0	-0.000295885	2.07893
8.89222e-09	-0.00496494	2.49007	0	-0.000681482	1.7315
8.94252e-09	-0.00825004	2.4835	0	-0.00104889	1.31236
8.96199e-09	-0.00950903	2.48098	0	-0.00117218	1.15006
8.97868e-09	-0.0104686	2.47906	0	-0.00125976	1.01103
9.00537e-09	-0.0112172	2.47757	0	-0.00128793	0.788574
9.03207e-09	-0.0109978	2.478	0	-0.00117833	0.566119
9.05699e-09	-0.00980296	2.48039	0	-0.000942241	0.358378
9.07992e-09	-0.00722031	2.48556	0	-0.000533731	0.16737
9.1e-09	-0.00397389	2.49205	0	-5.39433e-05	0
9.11349e-09	4.2904e-05	2.50009	0	0.000498364	0
9.11917e-09	0.00171078	2.50342	0	0.000727403	0
9.13734e-09	0.00663225	2.51326	0	0.00139038	0
9.16238e-09	0.0122294	2.52446	0	0.00209941	0
9.19917e-09	0.0173883	2.53478	0	0.00264487	0
9.24278e-09	0.0184503	2.5369	0	0.00253314	0
9.30087e-09	0.0128766	2.52575	0	0.00144456	0
9.38313e-09	-0.000686266	2.49863	0	-0.000621526	0
9.50408e-09	-0.0119616	2.47608	0	-0.0019132	0
9.64269e-09	-0.00394511	2.49211	0	-0.000360303	0
9.82717e-09	0.00854879	2.5171	0	0.00127804	0
1.00084e-08	0.00104476	2.50209	0	-7.6775e-05	0
1.02156e-08	-0.00632534	2.48735	0	-0.000915719	0
1.04466e-08	0.00244851	2.5049	0	0.000489331	0
1.06985e-08	0.00290188	2.5058	0	0.000326545	0
1.09464e-08	-0.00390436	2.49219	0	-0.000593188	0
1.1e-08	-0.00335241	2.4933	0	-0.000445682	0
1.10215e-08	-0.000630532	2.49874	0	-6.01016e-05	0.17881
1.10299e-08	0.000371091	2.50074	0	8.23335e-05	0.249568
1.10571e-08	0.00284374	2.50569	0	0.000426272	0.475993
1.1118e-08	0.00253115	2.50506	0	0.000350095	0.982953
1.11548e-08	-0.00210056	2.4958	0	-0.000302403	1.28962
1.1182e-08	-0.00655822	2.48688	0	-0.000894783	1.51681
1.12093e-08	-0.0118894	2.47622	0	-0.00157991	1.74401
1.12257e-08	-0.0134524	2.4731	0	-0.00175107	1.88124
1.12422e-08	-0.0143691	2.47126	0	-0.00182263	2.01847
1.12711e-08	-0.0118908	2.47622	0	-0.0013751	2.25896
1.13e-08	-0.00576816	2.48846	0	-0.000444231	2.5
1.1312e-08	-0.00362713	2.49275	0	-0.000124832	2.5
1.13183e-08	-0.00243806	2.49512	0	4.92735e-05	2.5
1.13384e-08	0.00172557	2.50345	0	0.000635702	2.5
1.13722e-08	0.00808776	2.51618	0	0.00147674	2.5
1.1418e-08	0.0131753	2.52635	0	0.00203241	2.5
1.14719e-08	0.0134191	2.52684	0	0.00182371	2.5
1.15447e-08	0.00654852	2.5131	0	0.000609537	2.5
1.16549e-08	-0.00602469	2.48795	0	-0.0011613	2.5
1.18035e-08	-0.00747211	2.48506	0	-0.000996083	2.5
1.19705e-08	0.00410766	2.50822	0	0.000759752	2.5
1.22147e-08	0.00345057	2.5069	0	0.00035318	2.5
1.24053e-08	-0.00498358	2.49003	0	-0.00078782	2.5
1.27207e-08	0.00110954	2.50222	0	0.00029281	2.5
1.29575e-08	0.00332215	2.50664	0	0.000419847	2.5
1.327e-08	-0.00338889	2.49322	0	-0.000525567	2.5
1.36219e-08	0.00124276	2.50249	0	0.000265589	2.5
1.38e-08	0.00232029	2.50464	0	0.000309088	2.5
1.38375e-08	-0.000460693	2.49908	0	-7.94295e-05	2.1875
1.38519e-08	-0.00140742	2.49719	0	-0.000211149	2.06762
1.38979e-08	-0.00480839	2.49038	0	-0.000652122	1.68399
1.3949e-08	-0.00834853	2.4833	0	-0.00105621	1.25861
1.39686e-08	-0.00967701	2.48065	0	-0.00118844	1.09485
1.3984e-08	-0.0105751	2.47885	0	-0.00127114	0.966832
1.40086e-08	-0.0112863	2.47743	0	-0.00129995	0.76201
1.40331e-08	-0.0111045	2.47779	0	-0.00120138	0.557188
1.40566e-08	-0.0100696	2.47986	0	-0.000990108	0.361425
1.4078e-08	-0.00778651	2.48443	0	-0.000624116	0.183734
1.41e-08	-0.0042996	2.4914	0	-0.000105026	0
1.41127e-08	-0.000491252	2.49902	0	0.000420604	0
1.41185e-08	0.00121478	2.50243	0	0.000655834	0
1.4137e-08	0.00625795	2.51252	0	0.0013382	0
1.41619e-08	0.0118916	2.52378	0	0.00205603	0
1.41985e-08	0.0171798	2.53436	0	0.00262433	0
1.42419e-08	0.0184611	2.53692	0	0.00254644	0
1.42997e-08	0.0131671	2.52633	0	0.00149565	0
1.43816e-08	-0.000254055	2.49949	0	-0.00056015	0
1.45023e-08	-0.0118831	2.47623	0	-0.00191311	0
1.46406e-08	-0.00428339	2.49143	0	-0.000413953	0
1.4823e-08	0.00845268	2.51691	0	0.00127445	0
1.50063e-08	0.00130039	2.5026	0	-3.87251e-05	0
1.52106e-08	-0.0063609	2.48728	0	-0.000929573	0
1.54458e-08	0.00230306	2.50461	0	0.000469913	0
1.5694e-08	0.00306561	2.50613	0	0.000354179	0
1.59444e-08	-0.00387636	2.49225	0	-0.000593229	0
1.6e-08	-0.00336579	2.49327	0	-0.000448987	0
1.60223e-08	-0.000575851	2.49885	0	-5.38108e-05	0.185495
1.60309e-08	0.00043158	2.50086	0	8.93974e-05	0.257564
1.60586e-08	0.00289184	2.50578	0	0.000431107	0.488183
1.6117e-08	0.00255763	2.50512	0	0.000352726	0.975318
1.61542e-08	-0.00205702	2.49589	0	-0.000297604	1.28501
1.6181e-08	-0.00646933	2.48706	0	-0.000884257	1.50821
1.62078e-08	-0.0117917	2.47642	0	-0.00156971	1.73141
1.62245e-08	-0.0134835	2.47303	0	-0.00175813	1.87059
1.62412e-08	-0.0145367	2.47093	0	-0.00184757	2.00978
1.62696e-08	-0.0122903	2.47542	0	-0.00143214	2.2467
1.63e-08	-0.00595046	2.4881	0	-0.000464857	2.5
1.63119e-08	-0.00381018	2.49238	0	-0.000145236	2.5
1.63182e-08	-0.00258368	2.49483	0	3.45016e-05	2.5
1.63386e-08	0.00171855	2.50344	0	0.000640802	2.5
1.63726e-08	0.0082146	2.51643	0	0.00149978	2.5
1.64183e-08	0.0133755	2.52675	0	0.0020634	2.5
1.64722e-08	0.013629	2.52726	0	0.00185284	2.5
1.65449e-08	0.0066696	2.51334	0	0.000622209	2.5
1.66552e-08	-0.00610894	2.48778	0	-0.0011781	2.5
1.68032e-08	-0.00761148	2.48478	0	-0.00101613	2.5
1.69694e-08	0.00410525	2.50821	0	0.00076298	2.5
1.7e-08	0.0057511	2.5115	0	0.000947228	2.5
1.7049e-08	0.0056892	2.51138	0.061257	0.00084087	2.5
1.70716e-08	0.00544542	2.51089	0.0894765	0.000762647	2.5
1.71346e-08	0.00313471	2.50627	0.168226	0.000342033	2.5
1.73362e-08	-0.00377314	2.49245	0.420224	-0.000607927	2.5
1.74958e-08	-0.00175301	2.49649	0.619707	-0.00016526	2.5
1.77775e-08	0.00254656	2.50509	0.971921	0.000396351	2.5
1.80269e-08	-0.00174454	2.49651	1.2836	-0.000268102	2.5
1.8195e-08	-0.00243269	2.49513	1.49371	-0.000326605	2.5
1.8363e-08	-0.00134548	2.49731	1.70381	-7.15075e-05	2.5
1.84073e-08	-0.000499906	2.499	1.75914	4.88912e-05	2.5
1.84577e-08	0.000190673	2.50038	1.82214	0.000140982	2.5
1.8498e-08	0.000140798	2.50028	1.87253	0.000124172	2.5
1.85254e-08	5.9937e-05	2.50012	1.90671	0.000106264	2.5
1.86129e-08	-0.00143748	2.49713	2.01608	-9.95919e-05	2.5
1.8633e-08	-0.00186509	2.49627	2.04125	-0.000153031	2.5
1.86531e-08	-0.00232373	2.49535	2.06643	-0.000208736	2.5
1.86718e-08	-0.00264704	2.49471	2.08978	-0.000244618	2.5
1.86905e-08	-0.00291474	2.49417	2.11313	-0.000271158	2.5
1.87105e-08	-0.00226238	2.49548	2.13819	-0.000174387	2.5
1.87306e-08	-0.000933199	2.49813	2.16324	1.3329e-05	2.5
1.87563e-08	0.00171223	2.50342	2.19533	0.000375398	2.5
1.87888e-08	0.0044434	2.50889	2.23603	0.00072745	2.5
1.88e-08	0.00504053	2.51008	2.25	0.000795168	2.5
1.88179e-08	0.00404652	2.50809	2.27236	0.000635627	2.35094
1.88232e-08	0.0037843	2.50757	2.27896	0.000592059	2.30692
1.88398e-08	0.00308292	2.50617	2.29975	0.000470702	2.16833
1.88764e-08	0.000371483	2.50074	2.34549	6.05873e-05	1.86343
1.89245e-08	-0.00527576	2.48945	2.4056	-0.000712506	1.46267
1.89479e-08	-0.00844656	2.48311	2.43483	-0.00111603	1.26782
1.89712e-08	-0.0118955	2.47621	2.46405	-0.00153764	1.07298
1.89856e-08	-0.0135068	2.47299	2.48203	-0.00171679	0.953156
1.9e-08	-0.0149187	2.47016	2.5	-0.00186088	0.833333
1.90047e-08	-0.015215	2.46957	2.5	-0.00188316	0.793882
1.90097e-08	-0.0155046	2.46899	2.5	-0.00190336	0.752753
1.90255e-08	-0.0159944	2.46801	2.5	-0.00190506	0.621141
1.90386e-08	-0.0158841	2.46823	2.5	-0.00183266	0.511324
1.90477e-08	-0.0154457	2.46911	2.5	-0.00173335	0.43554
1.90568e-08	-0.0147114	2.47058	2.5	-0.00159374	0.359756
1.90683e-08	-0.0131247	2.47375	2.5	-0.00133023	0.264119
1.90851e-08	-0.00982732	2.48035	2.5	-0.000817735	0.124302
1.91e-08	-0.00601566	2.48797	2.5	-0.000253678	0
1.91164e-08	0.000356212	2.50071	2.5	0.00062944	0
1.91219e-08	0.00248137	2.50496	2.5	0.000922961	0
1.91393e-08	0.00891197	2.51782	2.5	0.00179295	0
1.91658e-08	0.0171862	2.53437	2.5	0.00284713	0
1.92036e-08	0.024583	2.54917	2.5	0.00363395	0
1.9249e-08	0.0258725	2.55174	2.5	0.003442	0
1.93095e-08	0.0173674	2.53473	2.5	0.00182142	0
1.93951e-08	-0.0024217	2.49516	2.5	-0.00114528	0
1.95063e-08	-0.0166205	2.46676	2.5	-0.00272139	0
1.96242e-08	-0.00750953	2.48498	2.5	-0.000879682	0
1.97607e-08	0.00948476	2.51897	2.5	0.0015188	0
1.99329e-08	0.00628648	2.51257	2.5	0.000624359	0
2.00952e-08	-0.00725595	2.48549	2.5	-0.00124288	0
2.03451e-08	-0.0014784	2.49704	2.5	-1.74738e-05	0
2.05289e-08	0.00658034	2.51316	2.5	0.000962197	0
2.08114e-08	-0.00268657	2.49463	2.5	-0.000537273	0
2.1e-08	-0.00384496	2.49231	2.5	-0.000481508	0
2.10344e-08	-0.00017902	2.49964	2.5	4.01049e-05	0.287072
2.10491e-08	0.00120363	2.50241	2.5	0.00023573	0.409014
2.10959e-08	0.00321322	2.50643	2.5	0.000499059	0.79923
2.11158e-08	0.00299827	2.506	2.5	0.000455188	0.965209
2.11357e-08	0.00214487	2.50429	2.5	0.000318283	1.13119
2.11583e-08	-5.45439e-05	2.49989	2.5	6.866e-06	1.31899
2.11808e-08	-0.00340659	2.49319	2.5	-0.000455689	1.5068
2.12044e-08	-0.00606194	2.48788	2.5	-0.00080492	1.70302
2.12279e-08	-0.00854928	2.4829	2.5	-0.00111634	1.89924
2.12446e-08	-0.00937649	2.48125	2.5	-0.0011964	2.03869
2.12614e-08	-0.00967926	2.48064	2.5	-0.00119536	2.17814
2.12762e-08	-0.00952539	2.48095	2.5	-0.00113654	2.30203
2.12911e-08	-0.00896812	2.48206	2.5	-0.00101994	2.42591
2.13e-08	-0.00850236	2.483	2.5	-0.000932541	2.5
2.13136e-08	-0.0087151	2.48257	2.5	-0.000924881	2.5
2.13182e-08	-0.00872772	2.48254	2.5	-0.000914893	2.5
2.13324e-08	-0.00823767	2.48352	2.5	-0.000815299	2.5
2.13468e-08	-0.00697768	2.48604	2.5	-0.000611896	2.5
2.13573e-08	-0.00568811	2.48862	2.5	-0.000415786	2.5
2.13678e-08	-0.00408114	2.49184	2.5	-0.000178571	2.5
2.13841e-08	-0.00120382	2.49759	2.5	0.000232898	2.5
2.14043e-08	0.00248867	2.50498	2.5	0.000742155	2.5
2.14272e-08	0.00615075	2.5123	2.5	0.00122106	2.5
2.14518e-08	0.00915552	2.51831	2.5	0.00157752	2.5
2.14703e-08	0.0106296	2.52126	2.5	0.0017235	2.5
