t`s`float	v(rst)`V`float	v(d)`V`float	v(clk)`V`float	v(c2)`V`float	v(c1)`V`float
0	0	2.43197e-08	0	2.5	2.5
1e-12	0	2.43197e-08	0	2.5	2.5
2e-12	0	2.43197e-08	0	2.5	2.5
5.2e-12	0	2.43197e-08	0	2.5	2.5
1.544e-11	0	2.43197e-08	0	2.5	2.5
4.8208e-11	0	2.43197e-08	0	2.5	2.5
1.53066e-10	0	2.43198e-08	0	2.5	2.5
4.8861e-10	0	2.43197e-08	0	2.5	2.5
1e-09	0	2.43197e-08	0	2.5	2.5
1.045e-09	0	1.03334e-07	0.375	2.5	2.5
1.06811e-09	0	1.2937e-07	0.567595	2.5	2.5
1.14207e-09	0	5.38952e-08	1.1839	2.5	2.5
1.18025e-09	0	-5.74242e-08	1.50207	2.5	2.5
1.20634e-09	0	-1.33596e-07	1.71949	2.5	2.5
1.23243e-09	0	-2.09852e-07	1.93691	2.5	2.5
1.24884e-09	0	-2.08154e-07	2.07368	2.5	2.5
1.26526e-09	0	-1.82697e-07	2.21046	2.5	2.5
1.28263e-09	0	-7.42249e-08	2.35523	2.5	2.5
1.3e-09	0	9.93795e-08	2.5	2.5	2.5
1.31632e-09	0	3.26155e-07	2.5	2.5	2.5
1.32201e-09	0	4.11287e-07	2.5	2.5	2.5
1.34025e-09	0	7.87572e-07	2.5	2.5	2.5
1.36109e-09	0	1.45887e-06	2.5	2.5	2.5
1.39071e-09	0	2.72351e-06	2.5	2.5	2.5
1.42216e-09	0	4.00028e-06	2.5	2.5	2.5
1.45856e-09	0	4.38261e-06	2.5	2.5	2.5
1.50048e-09	0	2.82002e-06	2.5	2.5	2.5
1.53608e-09	0	6.66948e-07	2.5	2.5	2.5
1.58519e-09	0	-1.58818e-06	2.5	2.5	2.5
1.64733e-09	0	-2.70726e-06	2.5	2.5	2.5
1.72013e-09	0	-2.54987e-06	2.5	2.5	2.5
1.78592e-09	0	-1.98931e-06	2.5	2.5	2.5
1.88023e-09	0	-1.21673e-06	2.5	2.5	2.5
2.00567e-09	0	-4.22529e-07	2.5	2.5	2.5
2.17591e-09	0	1.93699e-07	2.5	2.5	2.5
2.40749e-09	0	4.13635e-07	2.5	2.5	2.5
2.66339e-09	0	2.8822e-07	2.5	2.5	2.5
2.96157e-09	0	1.33736e-07	2.5	2.5	2.5
3.31501e-09	0	5.19143e-08	2.5	2.5	2.5
3.8e-09	0	1.93718e-08	2.5	2.5	2.5
3.8375e-09	0	-5.11757e-08	2.1875	2.5	2.5
3.8599e-09	0	-8.32823e-08	2.00086	2.5	2.5
3.93156e-09	0	-4.80448e-08	1.40363	2.5	2.5
3.97739e-09	0	8.64102e-08	1.02175	2.5	2.5
4.00716e-09	0	1.81273e-07	0.773687	2.5	2.5
4.03693e-09	0	2.82062e-07	0.525626	2.5	2.5
4.05521e-09	0	3.02843e-07	0.373283	2.5	2.5
4.07349e-09	0	3.0516e-07	0.22094	2.5	2.5
4.08674e-09	0	2.84779e-07	0.11047	2.5	2.5
4.1e-09	0	2.49094e-07	0	2.5	2.5
4.1148e-09	0	2.42877e-07	0	2.5	2.5
4.1211e-09	0	2.3967e-07	0	2.5	2.5
4.14125e-09	0	2.05361e-07	0	2.5	2.5
4.16672e-09	0	1.18913e-07	0	2.5	2.5
4.20596e-09	0	-1.76808e-08	0	2.5	2.5
4.24993e-09	0	-1.05219e-07	0	2.5	2.5
4.30414e-09	0	-1.30173e-07	0	2.5	2.5
4.37485e-09	0	-1.03766e-07	0	2.5	2.5
4.48138e-09	0	-4.46509e-08	0	2.5	2.5
4.62426e-09	0	8.68948e-09	0	2.5	2.5
4.81549e-09	0	3.52068e-08	0	2.5	2.5
5.08329e-09	0	3.71803e-08	0	2.5	2.5
5.47473e-09	0	2.86991e-08	0	2.5	2.5
6e-09	0	2.38668e-08	0	2.5	2.5
6.0375e-09	0	1.03469e-07	0.3125	2.5	2.5
6.06074e-09	0	1.38948e-07	0.506195	2.5	2.5
6.13512e-09	0	-1.05021e-08	1.12602	2.5	2.5
6.17434e-09	0	-2.14519e-07	1.4528	2.5	2.5
6.20141e-09	0	-2.74555e-07	1.67838	2.5	2.5
6.22848e-09	0	-2.68598e-07	1.90396	2.5	2.5
6.24515e-09	0	-1.87043e-07	2.04293	2.5	2.5
6.26183e-09	0	-5.92298e-08	2.18191	2.5	2.5
6.27814e-09	0	4.38773e-08	2.31787	2.5	2.5
